"canonical_key"	"user"	"repo_count"	"first_seen"	"last_seen"	"seen_total"	"repo_labels"	"repo_urls"
"0-hu|https://github.com/0-hu/codyssey-e1-1"	"0-hu"	"1"	"2026-04-17"	"2026-04-17"	"1"	"codyssey-e1-1"	"https://github.com/0-hu/codyssey-e1-1"
"0-hu|https://github.com/0-hu/codyssey-e1-2"	"0-hu"	"1"	"2026-04-17"	"2026-04-17"	"1"	"codyssey-e1-2"	"https://github.com/0-hu/codyssey-e1-2"
"0-hu|https://github.com/0-hu/codyssey-e1-3"	"0-hu"	"1"	"2026-04-16"	"2026-04-17"	"2"	"codyssey-e1-3"	"https://github.com/0-hu/codyssey-e1-3"
"1sup1|https://github.com/1sup1/npu-simulator"	"1sup1"	"1"	"2026-04-16"	"2026-04-17"	"2"	"npu-simulator"	"https://github.com/1sup1/npu-simulator"
"1sup1|https://github.com/1sup1/quiz-game"	"1sup1"	"1"	"2026-04-16"	"2026-04-17"	"2"	"quiz-game"	"https://github.com/1sup1/quiz-game"
"chunRam|https://github.com/chunRam/workstation-mission"	"chunRam"	"1"	"2026-04-17"	"2026-04-17"	"1"	"workstation-mission"	"https://github.com/chunRam/workstation-mission"
"chunRam|https://github.com/chunRam/workstation-mission_2"	"chunRam"	"1"	"2026-04-16"	"2026-04-17"	"2"	"workstation-mission_2"	"https://github.com/chunRam/workstation-mission_2"
"clae-dev|https://github.com/clae-dev/ia-codyssey-Docker"	"clae-dev"	"1"	"2026-04-13"	"2026-04-17"	"5"	"ia-codyssey-Docker"	"https://github.com/clae-dev/ia-codyssey-Docker"
"clae-dev|https://github.com/clae-dev/ia-codyssey-Python"	"clae-dev"	"1"	"2026-04-13"	"2026-04-17"	"5"	"ia-codyssey-Python"	"https://github.com/clae-dev/ia-codyssey-Python"
"codewhite7777|https://github.com/codewhite7777/codyssey_E-1"	"codewhite7777"	"1"	"2026-04-13"	"2026-04-17"	"5"	"codyssey_E-1"	"https://github.com/codewhite7777/codyssey_E-1"
"codewhite7777|https://github.com/codewhite7777/codyssey_E1-3"	"codewhite7777"	"1"	"2026-04-13"	"2026-04-17"	"5"	"codyssey_E1-3"	"https://github.com/codewhite7777/codyssey_E1-3"
"codewhite7777|https://github.com/codewhite7777/codyssey_E-2"	"codewhite7777"	"1"	"2026-04-13"	"2026-04-17"	"5"	"codyssey_E-2"	"https://github.com/codewhite7777/codyssey_E-2"
