"user"	"repo_url"	"repo_label_last"	"first_seen"	"last_seen"	"seen_count"	"updated_last"
"0-hu"	"https://github.com/0-hu/codyssey-e1-1"	"codyssey-e1-1"	"2026-04-17"	"2026-04-17"	"1"	"2026-04-06"
"0-hu"	"https://github.com/0-hu/codyssey-e1-2"	"codyssey-e1-2"	"2026-04-17"	"2026-04-17"	"1"	"2026-04-07"
"0-hu"	"https://github.com/0-hu/codyssey-e1-3"	"codyssey-e1-3"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-15"
"1sup1"	"https://github.com/1sup1/npu-simulator"	"npu-simulator"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-02"
"1sup1"	"https://github.com/1sup1/quiz-game"	"quiz-game"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-11"
"chunRam"	"https://github.com/chunRam/workstation-mission"	"workstation-mission"	"2026-04-17"	"2026-04-17"	"1"	"2026-04-04"
"chunRam"	"https://github.com/chunRam/workstation-mission_2"	"workstation-mission_2"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-04"
"clae-dev"	"https://github.com/clae-dev/ia-codyssey-Docker"	"ia-codyssey-Docker"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-02"
"clae-dev"	"https://github.com/clae-dev/ia-codyssey-Python"	"ia-codyssey-Python"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-08"
"codewhite7777"	"https://github.com/codewhite7777/codyssey_E-1"	"codyssey_E-1"	"2026-04-13"	"2026-04-17"	"5"	"2026-03-30"
"codewhite7777"	"https://github.com/codewhite7777/codyssey_E1-3"	"codyssey_E1-3"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-06"
"codewhite7777"	"https://github.com/codewhite7777/codyssey_E-2"	"codyssey_E-2"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-02"
"Daeung-03"	"https://github.com/Daeung-03/Codyssey_rookieQ1"	"Codyssey_rookieQ1"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-04"
"Daeung-03"	"https://github.com/Daeung-03/Codyssey_rookieQ2"	"Codyssey_rookieQ2"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-12"
"Daeung-03"	"https://github.com/Daeung-03/Codyssey_rookieQ3"	"Codyssey_rookieQ3"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-15"
"doji-kr"	"https://github.com/doji-kr/codyssey_day1_bear1"	"codyssey_day1_bear1"	"2026-04-13"	"2026-04-15"	"3"	"2025-07-11"
"dolphin1404"	"https://github.com/dolphin1404/Codyssey_E_1_2"	"Codyssey_E_1_2"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-13"
"dolphin1404"	"https://github.com/dolphin1404/Codyssey_E_1_3"	"Codyssey_E_1_3"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-13"
"heejeong13"	"https://github.com/heejeong13/codyssey_npu"	"codyssey_npu"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-16"
"ikasoon"	"https://github.com/ikasoon/codyssey-e1-1"	"codyssey-e1-1"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-06"
"I-nkamanda"	"https://github.com/I-nkamanda/codyssey2026/tree/main/Problem1_AI_SW_Setup"	"codyssey2026/Problem1_AI_SW_Setup"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-15"
"I-nkamanda"	"https://github.com/I-nkamanda/codyssey2026/tree/main/Problem2_Python_with_git"	"codyssey2026/Problem2_Python_with_git"	"2026-04-13"	"2026-04-15"	"3"	"2026-04-14"
"I-nkamanda"	"https://github.com/I-nkamanda/codyssey2026/tree/main/Problem3_Mini_NPU_Simulator"	"codyssey2026/Problem3_Mini_NPU_Simulator"	"2026-04-13"	"2026-04-15"	"3"	"2026-04-14"
"jhj9109"	"https://github.com/jhj9109/codyssey2"	"codyssey2"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-07"
"jhj9109"	"https://github.com/jhj9109/codyssey3"	"codyssey3"	"2026-04-16"	"2026-04-17"	"2"	"2026-04-16"
"jhkr1"	"https://github.com/jhkr1/Codyssey_mission1"	"Codyssey_mission1"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-07"
"jhkr1"	"https://github.com/jhkr1/Codyssey_mission2"	"Codyssey_mission2"	"2026-04-13"	"2026-04-17"	"5"	"2026-04-11"
